Date,SPY
2015-01-01,166.57371520996094
2015-02-01,175.93592834472656
2015-03-01,172.40318298339844
2015-04-01,174.87570190429688
2015-05-01,177.1239776611328
2015-06-01,172.6862335205078
2015-07-01,177.44602966308594
2015-08-01,166.63067626953125
2015-09-01,161.53915405273438
2015-10-01,176.1908416748047
2015-11-01,176.83480834960938
2015-12-01,172.7505340576172
2016-01-01,165.1268310546875
2016-02-01,164.99046325683594
2016-03-01,175.1851348876953
2016-04-01,176.78269958496094
2016-05-01,179.79002380371094
2016-06-01,179.4815673828125
2016-07-01,186.9949493408203
2016-08-01,187.2188262939453
2016-09-01,186.28875732421875
2016-10-01,183.9836883544922
2016-11-01,190.76144409179688
2016-12-01,193.48802185058594
2017-01-01,198.1112823486328
2017-02-01,205.89537048339844
2017-03-01,205.25973510742188
2017-04-01,208.19900512695312
2017-05-01,211.1372833251953
2017-06-01,211.45211791992188
2017-07-01,216.8507537841797
2017-08-01,217.48341369628906
2017-09-01,220.76998901367188
2017-10-01,227.0936737060547
2017-11-01,234.03492736816406
2017-12-01,235.66873168945312
2018-01-01,250.22328186035156
2018-02-01,241.12515258789062
2018-03-01,233.5802764892578
2018-04-01,235.72776794433594
2018-05-01,241.45814514160156
2018-06-01,241.76104736328125
2018-07-01,251.84320068359375
2018-08-01,259.8821105957031
2018-09-01,260.2491455078125
2018-10-01,243.36154174804688
2018-11-01,247.87567138671875
2018-12-01,224.73822021484375
2019-01-01,244.14952087402344
2019-02-01,252.0638885498047
2019-03-01,255.5009307861328
2019-04-01,267.1100769042969
2019-05-01,250.0760955810547
2019-06-01,266.1835021972656
2019-07-01,271.522216796875
2019-08-01,266.9759826660156
2019-09-01,270.9196472167969
2019-10-01,278.18701171875
2019-11-01,288.2568664550781
2019-12-01,295.18109130859375
2020-01-01,296.5125732421875
2020-02-01,273.0389099121094
2020-03-01,237.54736328125
2020-04-01,269.2861328125
2020-05-01,282.1163635253906
2020-06-01,285.8616027832031
2020-07-01,304.02862548828125
2020-08-01,325.2488098144531
2020-09-01,311.8221435546875
2020-10-01,305.264404296875
2020-11-01,338.4700927734375
2020-12-01,349.5199890136719
2021-01-01,347.4330139160156
2021-02-01,357.09344482421875
2021-03-01,372.0866394042969
2021-04-01,393.0570068359375
2021-05-01,395.6379089355469
2021-06-01,403.19189453125
2021-07-01,414.3861389160156
2021-08-01,426.71820068359375
2021-09-01,405.5315856933594
2021-10-01,435.3755187988281
2021-11-01,431.8773193359375
2021-12-01,450.26873779296875
2022-01-01,428.01953125
2022-02-01,415.38568115234375
2022-03-01,429.6654052734375
2022-04-01,393.17169189453125
2022-05-01,394.05908203125
2022-06-01,360.0097351074219
2022-07-01,394.8605041503906
2022-08-01,378.7493896484375
2022-09-01,342.329345703125
2022-10-01,371.6728515625
2022-11-01,392.334716796875
2022-12-01,368.03515625
2023-01-01,392.97625732421875
2023-02-01,383.09576416015625
2023-03-01,395.7895202636719
2023-04-01,403.64697265625
2023-05-01,405.51025390625
2023-06-01,430.18927001953125
2023-07-01,445.9210510253906
2023-08-01,438.6739501953125
2023-09-01,416.3968505859375
2023-10-01,408.7943420410156
2023-11-01,446.1351623535156
2023-12-01,464.619873046875
2024-01-01,473.93341064453125
2024-02-01,498.66650390625
2024-03-01,513.3787841796875
2024-04-01,494.2103271484375
2024-05-01,519.2073364257812
2024-06-01,535.7965087890625
2024-07-01,544.0339965820312
2024-08-01,556.7456665039062
2024-09-01,566.7017211914062
2024-10-01,563.3673706054688
2024-11-01,596.962890625
2024-12-01,580.6456298828125
