Date,0
2015-01-31,1000000.0
2015-02-28,1038464.8619411743
2015-03-31,1023890.4500559673
2015-04-30,1033332.7985212271
2015-05-31,1039565.8798983103
2015-06-30,1018474.5645506784
2015-07-31,1030937.8916104834
2015-08-31,982381.0135395052
2015-09-30,960959.2291285149
2015-10-31,1025302.7806366124
2015-11-30,1025580.13005563
2015-12-31,1011197.9204181496
2016-01-31,968647.8894597824
2016-02-29,976165.6297219321
2016-03-31,1041400.3144024757
2016-04-30,1051632.1185577183
2016-05-31,1062415.5374771752
2016-06-30,1078733.8538988384
2016-07-31,1107346.160285
2016-08-31,1100250.86658453
2016-09-30,1098994.1358859437
2016-10-31,1079184.820185224
2016-11-30,1111346.8668991714
2016-12-31,1132793.0098894166
2017-01-31,1149626.9250913463
2017-02-28,1186253.061692478
2017-03-31,1183753.8721203215
2017-04-30,1191710.6247894194
2017-05-31,1202912.2931806343
2017-06-30,1210622.768902371
2017-07-31,1230096.6949318247
2017-08-31,1230079.7086478076
2017-09-30,1253467.2806621778
2017-10-31,1273505.2943835368
2017-11-30,1309278.0466094404
2017-12-31,1320708.2401756758
2018-01-31,1367469.3925929028
2018-02-28,1305826.3967849568
2018-03-31,1292075.5937626532
2018-04-30,1300506.1627678075
2018-05-31,1319009.6809580105
2018-06-30,1334068.5339177828
2018-07-31,1372624.7472580986
2018-08-31,1396293.4951993427
2018-09-30,1398418.831829219
2018-10-31,1316249.763143083
2018-11-30,1347751.8885731497
2018-12-31,1231302.2894224871
2019-01-31,1331891.07867576
2019-02-28,1368142.9932103625
2019-03-31,1395719.0180122966
2019-04-30,1441245.1890855287
2019-05-31,1360356.1361378157
2019-06-30,1451479.4115715155
2019-07-31,1466370.2829211548
2019-08-31,1450410.7949678553
2019-09-30,1482880.778983347
2019-10-31,1498635.5570784002
2019-11-30,1536284.751250065
2019-12-31,1579520.856222128
2020-01-31,1565173.3424987725
2020-02-29,1427790.8129080578
2020-03-31,1221875.3786986934
2020-04-30,1380496.7990935585
2020-05-31,1442574.4015377574
2020-06-30,1451352.5060383172
2020-07-31,1524493.4213460444
2020-08-31,1595009.5078776798
2020-09-30,1543973.7572599
2020-10-31,1516141.9990342073
2020-11-30,1692729.861626195
2020-12-31,1743697.1990705638
2021-01-31,1728463.8362354646
2021-02-28,1799270.725196388
2021-03-31,1904307.071213249
2021-04-30,1995116.4175916556
2021-05-31,2027324.7353059421
2021-06-30,2045071.9492536588
2021-07-31,2076720.2192868183
2021-08-31,2124792.9359951355
2021-09-30,2042817.7096839538
2021-10-31,2179223.2216520216
2021-11-30,2135844.8644496757
2021-12-31,2262887.7848586007
2022-01-31,2192560.279571234
2022-02-28,2148943.537320873
2022-03-31,2252411.2293153675
2022-04-30,2108398.131712657
2022-05-31,2131833.991556125
2022-06-30,1946646.255198712
2022-07-31,2103573.515950436
2022-08-31,2041288.2869252965
2022-09-30,1848304.4150911
2022-10-31,2002375.853464543
2022-11-30,2124238.503065579
2022-12-31,2022071.5101539919
2023-01-31,2144394.177286453
2023-02-28,2072737.6634850905
2023-03-31,2115123.4224421866
2023-04-30,2146709.9056034167
2023-05-31,2088617.5180580495
2023-06-30,2227289.2487248546
2023-07-31,2301239.842071408
2023-08-31,2249022.135392682
2023-09-30,2152940.035349546
2023-10-31,2099492.661031934
2023-11-30,2264120.6461135605
2023-12-31,2365543.691291102
2024-01-31,2358699.0766344233
2024-02-29,2459722.992862301
2024-03-31,2558408.9707973544
2024-04-30,2462889.508118304
2024-05-31,2554439.5281234113
2024-06-30,2569630.7013591905
2024-07-31,2653610.8830094417
2024-08-31,2729620.535154026
2024-09-30,2793209.1741106063
2024-10-31,2755644.6076563178
2024-11-30,2917322.362643654
2024-12-31,2752524.29942942
