,gdp
2014-12-31,17912.079
2015-03-31,18063.529
2015-06-30,18279.784
2015-09-30,18401.626
2015-12-31,18435.137
2016-03-31,18525.933
2016-06-30,18711.702
2016-09-30,18892.639
2016-12-31,19089.379
2017-03-31,19280.084
2017-06-30,19438.643
2017-09-30,19692.595
2017-12-31,20037.088
2018-03-31,20328.553
2018-06-30,20580.912
2018-09-30,20798.73
2018-12-31,20917.867
2019-03-31,21111.6
2019-06-30,21397.938
2019-09-30,21717.171
2019-12-31,21933.217
2020-03-31,21727.657
2020-06-30,19935.444
2020-09-30,21684.551
2020-12-31,22068.767
2021-03-31,22656.793
2021-06-30,23368.861
2021-09-30,23921.991
2021-12-31,24777.038
2022-03-31,25215.491
2022-06-30,25805.791
2022-09-30,26272.011
2022-12-31,26734.277
2023-03-31,27164.359
2023-06-30,27453.815
2023-09-30,27967.697
2023-12-31,28296.967
2024-03-31,28624.069
2024-06-30,29016.714
2024-09-30,29374.914
2024-12-31,29723.864
2025-03-31,29962.047
2025-06-30,30331.117
