Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2016-10-28,38.10680713653564,,44.631936435699465,15.72307360649109,47.322091522216795,39.944834270477294,41.47709461212158,23.314079341888426,36.49641495704651,60.516843471527096,70.92464466094971
2016-10-31,38.144594774246215,,44.684910945892334,15.73405692100525,47.36211435317993,39.98403339385986,41.498159141540526,23.322819623947144,36.52306345939636,60.52225261688233,70.95844356536865
2016-11-01,38.18319399833679,,44.741884059906006,15.744734930992127,47.40007865905762,40.02119049072266,41.51606081008911,23.32858353614807,36.54391564369202,60.52614925384521,70.98851860046386
2016-11-02,38.221903018951416,,44.801008205413815,15.75628746032715,47.43980056762695,40.0583734703064,41.535818634033205,23.335463581085204,36.56611410140991,60.52797870635986,71.01929035186768
2016-11-03,38.25928967475891,,44.85561052322387,15.768230299949646,47.47825071334839,40.09252634048462,41.55341510772705,23.341068716049193,36.58913993835449,60.527940826416014,71.04504936218262
2016-11-04,38.294535417556766,,44.90093835830689,15.778628859519959,47.5151432800293,40.121432628631595,41.56592864990235,23.345246181488037,36.60876001358032,60.525363216400144,71.06444625854492
2016-11-07,38.33784200668335,,44.96012035369873,15.79256450176239,47.560526313781736,40.156987800598145,41.58359111785889,23.351456079483032,36.63291732788086,60.53281997680664,71.09569732666016
2016-11-08,38.37913131713867,,45.0128031539917,15.805354480743409,47.603570728302,40.19184072494507,41.60037488937378,23.357421913146972,36.657403793334964,60.53891948699951,71.12363018035889
2016-11-09,38.425851879119875,,45.07027168273926,15.822019877433776,47.65519493103027,40.23013948440552,41.614506549835205,23.361784162521364,36.67468463897705,60.55871822357178,71.15747478485108
2016-11-10,38.47467125892639,,45.123118724823,15.84191593170166,47.711082515716555,40.26270053863525,41.62120044708252,23.36563913345337,36.68507827758789,60.58854864120483,71.18845027923584
2016-11-11,38.516176271438596,,45.165917797088625,15.860063662528992,47.761915016174314,40.29025291442871,41.62377227783203,23.369496555328368,36.69147256851196,60.609187278747555,71.21787181854248
2016-11-14,38.557480840682985,,45.21335092544555,15.880763940811157,47.81436845779419,40.313907566070554,41.62532787322998,23.373258323669432,36.69616800308228,60.628448486328125,71.245311088562
2016-11-15,38.60069850921631,,45.27406278610229,15.903416137695313,47.87202688217163,40.34383045196533,41.630634536743166,23.37765332221985,36.70292114257813,60.652673473358156,71.28069805145263
2016-11-16,38.638164367675785,,45.32637233734131,15.924643721580505,47.92485187530517,40.37593101501465,41.63640810012817,23.381866025924683,36.70636386871338,60.673766136169434,71.31894721984864
2016-11-17,38.67112482070923,,45.37712474822998,15.946532235145568,47.97460596084595,40.40921527862549,41.643613204956054,23.38440489768982,36.71058179855347,60.697605743408204,71.36351066589356
2016-11-18,38.70573501586914,,45.4333854675293,15.969371209144592,48.02629934310913,40.44742490768433,41.65041753768921,23.38911192893982,36.71371788024902,60.72367181777954,71.41748020172119
2016-11-21,38.747157936096194,,45.49646862030029,15.994348402023315,48.08117946624756,40.490368900299075,41.659071083068845,23.39909188270569,36.719294719696045,60.75457611083984,71.47999490737915
